"","symboling","normalized.losses","make","aspiration","num.of.doors","body.style","drive.wheels","engine.location","wheel.base","length","width","height","curb.weight","engine.type","num.of.cylinders","engine.size","fuel.system","bore","stroke","compression.ratio","horsepower","peak.rpm","city.mpg","highway.mpg","price","city.L.100km","highway.L.100km","price_binned","diesel","gas","normalized_length","normalized_width","normalized_height"
"1",3,NA,"alfa-romero","std","two","hatchback","rwd","front",88.6,168.8,64.1,48.8,2548,"dohc","<= four",130,"mpfi",3.47,2.68,9,111,5000,21,27,13495,11.1904761904762,8.7037037037037,"Low","No","Yes",-0.438315068924527,-0.851334555978286,-2.02901450325807
"2",3,NA,"alfa-romero","std","two","hatchback","rwd","front",88.6,168.8,64.1,48.8,2548,"dohc","<= four",130,"mpfi",3.47,2.68,9,111,5000,21,27,16500,11.1904761904762,8.7037037037037,"Low","No","Yes",-0.438315068924527,-0.851334555978286,-2.02901450325807
"3",1,NA,"alfa-romero","std","two","hatchback","rwd","front",94.5,171.2,65.5,52.4,2823,"ohc",">= five",152,"mpfi",2.68,3.47,9,154,5000,19,26,16500,12.3684210526316,9.03846153846154,"Low","No","Yes",-0.243544260846798,-0.185134489092041,-0.558319427071026
"4",2,164,"audi","std","four","sedan","fwd","front",99.8,176.6,66.2,54.3,2337,"ohc","<= four",109,"mpfi",3.19,3.4,10,102,5500,24,30,13950,9.79166666666667,7.83333333333333,"Low","No","Yes",0.194690057328096,0.147965544351082,0.217880752027688
"5",2,164,"audi","std","four","sedan","fwd","front",99.4,176.6,66.4,54.3,2824,"ohc",">= five",136,"mpfi",3.19,3.4,8,115,5500,18,22,17450,13.0555555555556,10.6818181818182,"Low","No","Yes",0.194690057328096,0.243136982477689,0.217880752027688
"6",2,NA,"audi","std","two","sedan","fwd","front",99.8,177.3,66.3,53.1,2507,"ohc",">= five",136,"mpfi",3.19,3.4,8.5,110,5500,19,25,15250,12.3684210526316,9.4,"Low","No","Yes",0.251498209684102,0.195551263414382,-0.272350940034656
"7",1,158,"audi","std","four","sedan","fwd","front",105.8,192.7,71.4,55.7,2844,"ohc",">= five",136,"mpfi",3.19,3.4,8.5,110,5500,19,25,17710,12.3684210526316,9.4,"Low","No","Yes",1.50127756151621,2.62242293564284,0.789817726100428
"8",1,NA,"audi","std","four","sedan","fwd","front",105.8,192.7,71.4,55.7,2954,"ohc",">= five",136,"mpfi",3.19,3.4,8.5,110,5500,19,25,18920,12.3684210526316,9.4,"Mid->High","No","Yes",1.50127756151621,2.62242293564284,0.789817726100428
"9",1,158,"audi","turbo","four","sedan","fwd","front",105.8,192.7,71.4,55.9,3086,"ohc",">= five",131,"mpfi",3.13,3.4,8.3,140,5500,17,20,23875,13.8235294117647,11.75,"Mid->High","No","Yes",1.50127756151621,2.62242293564284,0.871523008110818
"10",2,192,"bmw","std","two","sedan","rwd","front",101.2,176.8,64.8,54.3,2395,"ohc","<= four",108,"mpfi",3.5,2.8,8.8,101,5800,23,29,16430,10.2173913043478,8.10344827586207,"Low","No","Yes",0.210920958001242,-0.518234522535163,0.217880752027688
"11",0,192,"bmw","std","four","sedan","rwd","front",101.2,176.8,64.8,54.3,2395,"ohc","<= four",108,"mpfi",3.5,2.8,8.8,101,5800,23,29,16925,10.2173913043478,8.10344827586207,"Low","No","Yes",0.210920958001242,-0.518234522535163,0.217880752027688
"12",0,188,"bmw","std","two","sedan","rwd","front",101.2,176.8,64.8,54.3,2710,"ohc",">= five",164,"mpfi",3.31,3.19,9,121,4250,21,28,20970,11.1904761904762,8.39285714285714,"Mid->High","No","Yes",0.210920958001242,-0.518234522535163,0.217880752027688
"13",0,188,"bmw","std","four","sedan","rwd","front",101.2,176.8,64.8,54.3,2765,"ohc",">= five",164,"mpfi",3.31,3.19,9,121,4250,21,28,21105,11.1904761904762,8.39285714285714,"Mid->High","No","Yes",0.210920958001242,-0.518234522535163,0.217880752027688
"14",1,NA,"bmw","std","four","sedan","rwd","front",103.5,189,66.9,55.7,3055,"ohc",">= five",164,"mpfi",3.31,3.19,9,121,4250,20,25,24565,11.75,9.4,"Mid->High","No","Yes",1.20100589906304,0.481065577794205,0.789817726100428
"15",0,NA,"bmw","std","four","sedan","rwd","front",103.5,189,66.9,55.7,3230,"ohc",">= five",209,"mpfi",3.62,3.39,8,182,5400,16,22,30760,14.6875,10.6818181818182,"Mid->High","No","Yes",1.20100589906304,0.481065577794205,0.789817726100428
"16",0,NA,"bmw","std","two","sedan","rwd","front",103.5,193.8,67.9,53.7,3380,"ohc",">= five",209,"mpfi",3.62,3.39,8,182,5400,16,22,41315,14.6875,10.6818181818182,"Mid->High","No","Yes",1.5905475152185,0.956922768427235,-0.0272350940034825
"17",0,NA,"bmw","std","four","sedan","rwd","front",110,197,70.9,56.3,3505,"ohc",">= five",209,"mpfi",3.62,3.39,8,182,5400,15,20,36880,15.6666666666667,11.75,"Mid->High","No","Yes",1.85024192598881,2.38449434032633,1.0349335721316
"18",2,121,"chevrolet","std","two","hatchback","fwd","front",88.4,141.1,60.3,53.2,1488,"dohc","<= four",61,"2bbl",2.91,3.03,9.5,48,5100,47,53,5151,5,4.43396226415094,"Low","No","Yes",-2.686294812155,-2.6595918803838,-0.23149829902946
"19",1,98,"chevrolet","std","two","hatchback","fwd","front",94.5,155.9,63.6,52,1874,"ohc","<= four",90,"2bbl",3.03,3.11,9.6,70,5400,38,43,6295,6.18421052631579,5.46511627906977,"Low","No","Yes",-1.48520816234233,-1.0892631512948,-0.721729991091808
"20",0,81,"chevrolet","std","four","sedan","fwd","front",94.5,158.8,63.6,52,1909,"ohc","<= four",90,"2bbl",3.03,3.11,9.6,70,5400,38,43,6575,6.18421052631579,5.46511627906977,"Low","No","Yes",-1.24986010258174,-1.0892631512948,-0.721729991091808
"21",1,118,"dodge","std","two","hatchback","fwd","front",93.7,157.3,63.8,50.8,1876,"ohc","<= four",90,"2bbl",2.97,3.23,9.41,68,5500,37,41,5572,6.35135135135135,5.73170731707317,"Low","No","Yes",-1.37159185763032,-0.994091713168194,-1.21196168315416
"22",1,118,"dodge","std","two","hatchback","fwd","front",93.7,157.3,63.8,50.8,1876,"ohc","<= four",90,"2bbl",2.97,3.23,9.4,68,5500,31,38,6377,7.58064516129032,6.18421052631579,"Low","No","Yes",-1.37159185763032,-0.994091713168194,-1.21196168315416
"23",1,118,"dodge","turbo","two","hatchback","fwd","front",93.7,157.3,63.8,50.8,2128,"ohc","<= four",98,"mpfi",3.03,3.39,7.6,102,5500,24,30,7957,9.79166666666667,7.83333333333333,"Low","No","Yes",-1.37159185763032,-0.994091713168194,-1.21196168315416
"24",1,148,"dodge","std","four","hatchback","fwd","front",93.7,157.3,63.8,50.6,1967,"ohc","<= four",90,"2bbl",2.97,3.23,9.4,68,5500,31,38,6229,7.58064516129032,6.18421052631579,"Low","No","Yes",-1.37159185763032,-0.994091713168194,-1.29366696516454
"25",1,148,"dodge","std","four","sedan","fwd","front",93.7,157.3,63.8,50.6,1989,"ohc","<= four",90,"2bbl",2.97,3.23,9.4,68,5500,31,38,6692,7.58064516129032,6.18421052631579,"Low","No","Yes",-1.37159185763032,-0.994091713168194,-1.29366696516454
"26",1,148,"dodge","std","four","sedan","fwd","front",93.7,157.3,63.8,50.6,1989,"ohc","<= four",90,"2bbl",2.97,3.23,9.4,68,5500,31,38,7609,7.58064516129032,6.18421052631579,"Low","No","Yes",-1.37159185763032,-0.994091713168194,-1.29366696516454
"27",1,148,"dodge","turbo","two","sedan","fwd","front",93.7,157.3,63.8,50.6,2191,"ohc","<= four",98,"mpfi",3.03,3.39,7.6,102,5500,24,30,8558,9.79166666666667,7.83333333333333,"Low","No","Yes",-1.37159185763032,-0.994091713168194,-1.29366696516454
"28",-1,110,"dodge","std","four","sedan","fwd","front",103.3,174.6,64.6,59.8,2535,"ohc","<= four",122,"2bbl",3.34,3.46,8.5,88,5000,24,30,8921,9.79166666666667,7.83333333333333,"Low","No","Yes",0.032381050596654,-0.613405960661771,2.46477600731344
"29",3,145,"dodge","turbo","two","hatchback","fwd","front",95.9,173.2,66.3,50.2,2811,"ohc","<= four",156,"mfi",3.6,3.9,7,145,5000,19,24,12964,12.3684210526316,9.79166666666667,"Low","No","Yes",-0.081235254115356,0.195551263414382,-1.45707752918533
"30",2,137,"honda","std","two","hatchback","fwd","front",86.6,144.6,63.9,50.8,1713,"ohc","<= four",92,"1bbl",2.91,3.41,9.6,58,4800,49,54,6479,4.79591836734694,4.35185185185185,"Low","No","Yes",-2.40225405037498,-0.94650599410489,-1.21196168315416
"31",2,137,"honda","std","two","hatchback","fwd","front",86.6,144.6,63.9,50.8,1819,"ohc","<= four",92,"1bbl",2.91,3.41,9.2,76,6000,31,38,6855,7.58064516129032,6.18421052631579,"Low","No","Yes",-2.40225405037498,-0.94650599410489,-1.21196168315416
"32",1,101,"honda","std","two","hatchback","fwd","front",93.7,150,64,52.6,1837,"ohc","<= four",79,"1bbl",2.91,3.07,10.1,60,5500,38,42,5399,6.18421052631579,5.59523809523809,"Low","No","Yes",-1.96401973220008,-0.898920275041586,-0.476614145060634
"33",1,101,"honda","std","two","hatchback","fwd","front",93.7,150,64,52.6,1940,"ohc","<= four",92,"1bbl",2.91,3.41,9.2,76,6000,30,34,6529,7.83333333333333,6.91176470588235,"Low","No","Yes",-1.96401973220008,-0.898920275041586,-0.476614145060634
"34",1,101,"honda","std","two","hatchback","fwd","front",93.7,150,64,52.6,1956,"ohc","<= four",92,"1bbl",2.91,3.41,9.2,76,6000,30,34,7129,7.83333333333333,6.91176470588235,"Low","No","Yes",-1.96401973220008,-0.898920275041586,-0.476614145060634
"35",0,110,"honda","std","four","sedan","fwd","front",96.5,163.4,64,54.5,2010,"ohc","<= four",92,"1bbl",2.91,3.41,9.2,76,6000,30,34,7295,7.83333333333333,6.91176470588235,"Low","No","Yes",-0.876549387099421,-0.898920275041586,0.299586034038081
"36",0,78,"honda","std","four","sedan","fwd","front",96.5,157.1,63.9,58.3,2024,"ohc","<= four",92,"1bbl",2.92,3.41,9.2,76,6000,30,34,7295,7.83333333333333,6.91176470588235,"Low","No","Yes",-1.38782275830346,-0.94650599410489,1.85198639223551
"37",0,106,"honda","std","two","hatchback","fwd","front",96.5,167.5,65.2,53.3,2236,"ohc","<= four",110,"1bbl",3.15,3.58,9,86,5800,27,33,7895,8.7037037037037,7.12121212121212,"Low","No","Yes",-0.543815923299965,-0.327891646281948,-0.190645658024267
"38",0,106,"honda","std","two","hatchback","fwd","front",96.5,167.5,65.2,53.3,2289,"ohc","<= four",110,"1bbl",3.15,3.58,9,86,5800,27,33,9095,8.7037037037037,7.12121212121212,"Low","No","Yes",-0.543815923299965,-0.327891646281948,-0.190645658024267
"39",0,85,"honda","std","four","sedan","fwd","front",96.5,175.4,65.2,54.1,2304,"ohc","<= four",110,"1bbl",3.15,3.58,9,86,5800,27,33,8845,8.7037037037037,7.12121212121212,"Low","No","Yes",0.0973046532892318,-0.327891646281948,0.136175470017299
"40",0,85,"honda","std","four","sedan","fwd","front",96.5,175.4,62.5,54.1,2372,"ohc","<= four",110,"1bbl",3.15,3.58,9,86,5800,27,33,10295,8.7037037037037,7.12121212121212,"Low","No","Yes",0.0973046532892318,-1.61270606099113,0.136175470017299
"41",0,85,"honda","std","four","sedan","fwd","front",96.5,175.4,65.2,54.1,2465,"ohc","<= four",110,"mpfi",3.15,3.58,9,101,5800,24,28,12945,9.79166666666667,8.39285714285714,"Low","No","Yes",0.0973046532892318,-0.327891646281948,0.136175470017299
"42",1,107,"honda","std","two","sedan","fwd","front",96.5,169.1,66,51,2293,"ohc","<= four",110,"2bbl",3.15,3.58,9.1,100,5500,25,31,10345,9.4,7.58064516129032,"Low","No","Yes",-0.413968717914812,0.0527941062244745,-1.13025640114376
"43",0,NA,"isuzu","std","four","sedan","rwd","front",94.3,170.7,61.8,53.5,2337,"ohc","<= four",111,"2bbl",3.31,3.23,8.5,78,4800,24,29,6785,9.79166666666667,8.10344827586207,"Low","No","Yes",-0.284121512529659,-1.94580609443425,-0.108940376013875
"44",2,NA,"isuzu","std","two","hatchback","rwd","front",96,172.6,65.2,51.4,2734,"ohc","<= four",119,"spfi",3.43,3.23,9.2,90,5000,24,29,11048,9.79166666666667,8.10344827586207,"Low","No","Yes",-0.129927956134788,-0.327891646281948,-0.966845837122982
